model,accuracy,f1_score,precision,recall,path
Logistic Regression,0.8955279383891941,0.8948204284373901,0.8944490536871357,0.8955279383891941,model/Logistic Regression\Logistic Regression_model.pkl
XGBoost,0.8959957774525563,0.8975295807395752,0.9019249327478459,0.8959957774525563,model/XGBoost\XGBoost_model.pkl
