,anger,fear,joy,love,sadness,surprise
anger,10299,357,209,39,548,11
fear,390,8022,201,33,484,412
joy,153,151,26299,1134,337,140
love,44,24,1545,5196,89,13
sadness,610,413,327,70,22763,55
surprise,17,577,236,14,76,2074
